Name,Age,Nationality,Club,Position,Overall,Value
Lionel Messi,38,Argentina,Inter Miami,Forward,90,50000000
Cristiano Ronaldo,41,Portugal,Al Nassr,Forward,88,30000000
Kylian Mbappe,27,France,Real Madrid,Forward,91,180000000
Erling Haaland,26,Norway,Manchester City,Forward,91,170000000
Kevin De Bruyne,35,Belgium,Manchester City,Midfielder,89,70000000
Jude Bellingham,22,England,Real Madrid,Midfielder,90,160000000
Vinicius Jr,25,Brazil,Real Madrid,Forward,90,170000000
Rodri,29,Spain,Manchester City,Midfielder,91,140000000
Harry Kane,32,England,Bayern Munich,Forward,89,90000000
Lautaro Martinez,28,Argentina,Inter Milan,Forward,89,95000000
